Facility Category,Name of Building/Facility,Address of Building/Facility,建築物/設施名稱,建築物/設施名稱.1,Country Park/Special Area,郊野公園/特別地區,Telephone,聯絡電話,Website,網頁,Latitude Decimal Degree(DD.DDD),Longitude Decimal Degree(DD.DDD),Service Hours (From),Service Hours (To)
Country Park Toilet Locations,"Toilet (Tai Tong Barbecue Site No. 6, Tai Tong Shan Road)","Tai Tong Barbecue Site No. 6, Tai Tong Shan Road",廁所(大棠山道 大棠燒烤場地6號),大棠山道 大棠燒烤場地6號,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.40752,114.03539,0:00,24:00:00
Country Park Toilet Locations,Toilet (Tai Tong Nature Trail Starting Point; Halfway along MacLehose Trail - Section No. 10),Tai Tong Nature Trail Starting Point; Halfway along MacLehose Trail - Section No. 10,廁所(大欖自然教育徑 起點；麥理浩徑 - 第十段 中間位),大欖自然教育徑 起點；麥理浩徑 - 第十段 中間位,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.39936,114.03465,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Tai Lam Chung Country Trail Starting Point, Ma On Kong)","Tai Lam Chung Country Trail Starting Point, Ma On Kong",廁所(馬鞍崗 大欖涌郊遊徑 起點),馬鞍崗 大欖涌郊遊徑 起點,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.42031,114.06201,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Tai Tong Picnic Site No. 2, Tai Tong Nature Trail)","Tai Tong Picnic Site No. 2, Tai Tong Nature Trail",廁所(大棠郊遊場地2號；大欖自然教育徑),大棠郊遊場地2號；大欖自然教育徑,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.39641,114.04611,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Shek Kong Barbecue Site No. 3, Kap Lung)","Shek Kong Barbecue Site No. 3, Kap Lung",廁所(甲龍 石崗燒烤場地3號),甲龍 石崗燒烤場地3號,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.42272,114.10409,0:00,24:00:00
Country Park Toilet Locations,Toilet (Tin Fu Tsai Campsite),Tin Fu Tsai Campsite,廁所(田夫仔營地),田夫仔營地,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.39048,114.06607,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Twisk Picnic Site, Junction of Tai Lam Forest Track - Tsing Fai Tong Section & Tin Fu Tsai Section)","Twisk Picnic Site, Junction of Tai Lam Forest Track - Tsing Fai Tong Section & Tin Fu Tsai Section",廁所(荃錦郊遊場地；大欖林道-清快塘段及田夫仔段 交界),荃錦郊遊場地；大欖林道-清快塘段及田夫仔段 交界,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.39252,114.07178,0:00,24:00:00
Country Park Toilet Locations,Toilet (near Tai Lam Country Park Twisk Management Centre),Near Tai Lam Country Park Twisk Management Centre,廁所(大欖郊野公園荃錦管理站的鄰近位置),大欖郊野公園荃錦管理站的鄰近位置,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.407,114.10474,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Chuen Lung Barbecue Site No. 2, Rotary Park Nature Trail Finishing Point)","Chuen Lung Barbecue Site No. 2, Rotary Park Nature Trail Finishing Point",廁所(川龍燒烤場地2號；扶輪公園自然教育徑終點),川龍燒烤場地2號；扶輪公園自然教育徑終點,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.39811,114.10899,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Shek Kong Barbecue Site No. 6, near Ma Pau Ling)","Shek Kong Barbecue Site No. 6, near Ma Pau Ling",廁所(近麻包嶺 石崗燒烤場地6號),近麻包嶺 石崗燒烤場地6號,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.42214,114.09467,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Twisk Picnic Site, Tsing Fai Tong)","Twisk Picnic Site, Tsing Fai Tong",廁所(清快塘 荃錦郊遊場地),清快塘 荃錦郊遊場地,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.38498,114.06055,0:00,24:00:00
Country Park Toilet Locations,Toilet (Ho Pui Campsite),Ho Pui Campsite,廁所(河背營地),河背營地,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.41062,114.07182,0:00,24:00:00
Country Park Toilet Locations,"Toilet (MacLehose Trail - Section No. 9, Pak Shek Kiu)","MacLehose Trail - Section No. 9, Pak Shek Kiu",廁所(白石橋 麥理浩徑 - 第九段),白石橋 麥理浩徑 - 第九段,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.39944,114.09148,0:00,24:00:00
Country Park Toilet Locations,Toilet (Tai Lam Forest Track - Tsing Fai Tong Section),Tai Lam Forest Track - Tsing Fai Tong Section,廁所(大欖林道-清快塘段),大欖林道-清快塘段,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.3885,114.07261,0:00,24:00:00
Country Park Toilet Locations,Toilet (Twisk Picnic Site; Near MacLehose Trail - Section No. 9 Starting Point),Twisk Picnic Site; Near MacLehose Trail - Section No. 9 Starting Point,廁所(荃錦郊遊場地；近麥理浩徑 - 第九段 起點),荃錦郊遊場地；近麥理浩徑 - 第九段 起點,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.40743,114.10193,0:00,24:00:00
Country Park Toilet Locations,"Toilet (MacLehose Trail - Section No. 10, Tin Fu Tsai)","MacLehose Trail - Section No. 10, Tin Fu Tsai",廁所(田夫仔 麥理浩徑 - 第十段),田夫仔 麥理浩徑 - 第十段,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.39399,114.06077,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Twisk Barbecue Site No.2, Tai Mo Shan Road)","Twisk Barbecue Site No.2, Tai Mo Shan Road",廁所(大帽山道 荃錦燒烤場地),大帽山道 荃錦燒烤場地,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.4056,114.10497,0:00,24:00:00
Country Park Toilet Locations,Toilet (Twisk Picnic Site; Tin Fu Tsai North Mountain Bike Trail),Twisk Picnic Site; Tin Fu Tsai North Mountain Bike Trail,廁所(荃錦郊遊場地；田夫仔北越野單車徑),荃錦郊遊場地；田夫仔北越野單車徑,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.39647,114.07384,0:00,24:00:00
